nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
8,9.6784315,1.4267893,0.91841215,-0.3607757,-1.0208886,-1.2883902
8,11.27731,0.90844136,1.1016272,-0.34346342,-1.0208886,-0.99844486
8,11.846739,1.4267893,0.9114113,-0.30555823,-1.0208886,-0.68778443
8,15.196344,0.1309197,1.0694239,-0.3409696,-1.0208886,-0.9568207
8,9.624389,1.4267893,1.2426006,-0.32296982,-1.0208886,-0.8950152
8,10.897691,0.3900934,1.5583235,-0.33623362,-1.0208886,-1.2470001
8,5.471782,1.9451367,1.2062267,-0.32745752,-1.0208886,-1.2472261
8,14.513029,0.90844136,1.0591588,-0.31115624,-1.0208886,-1.3502811
8,11.467119,1.685963,1.2555195,-0.3282459,-1.0208886,-1.1019878
8,15.0634775,1.4267893,1.3642782,-0.32430416,-1.0208886,-0.5634675
8,11.637949,1.685963,0.9475427,-0.3301824,-1.0208886,-1.1226357
67,0.17874071,-0.11204722,-2.056462,0.19830497,-1.2987165,-1.4959149
8,3.8568234,-0.89016205,0.92519116,-0.34767765,-1.24563,-1.5164756
4,-0.19507737,-0.3691416,-2.5755587,19.36762,0.20096186,1.9185052
61,-0.19507737,-1.1641899,-2.5755587,19.36762,0.7023455,-1.4152256
26,-0.19507737,-0.89133304,-2.5755587,19.36762,0.38963667,0.7382402
63,1.2680342,-0.11463444,-2.5540142,5.0119915,-0.024146695,-1.5089339
63,3.1049638,-1.1414598,-2.378929,2.7504082,-0.22065708,2.461656
4,18.531446,2.4793844,1.3536832,-0.3233224,-0.045582995,0.9068446
8,10.916672,-0.3811144,1.9463471,-0.24591626,-0.078553066,2.6043441
4,-0.19507737,0.6602153,-2.5755587,19.36762,1.3450401,0.6968273
8,19.898075,-0.11388367,1.6387563,-0.33264208,-1.0859401,-1.4536724
8,18.702276,-0.63223165,1.3194498,-0.3438553,-1.0859401,-1.0188196
8,15.808213,-0.11388367,1.1016272,-0.34250093,-1.0859401,-0.97750574
8,0.33644044,0.9228117,-2.548746,4.3079276,-1.0859401,-1.5150714
8,10.017188,0.663638,1.8578957,-0.2798372,-1.0859401,-0.5430581
8,22.170244,-0.63223165,1.5781523,-0.26085752,-1.0859401,-0.37682372
8,2.167518,-0.37305796,-2.5620139,15.305191,-1.0859401,-1.3354473
8,19.480495,-0.63223165,1.5583235,-0.33460224,-1.0859401,-1.2051929
8,19.537437,-0.37305796,1.5335414,-0.33873105,-1.0859401,-1.5364927
8,18.854122,-0.11388367,1.0591588,-0.31022623,-1.0859401,-1.32935
8,19.21476,-0.37305796,1.1336069,-0.32601207,-1.0859401,-1.3914629
8,14.683857,0.14529002,1.5315273,-0.33698583,-1.0859401,-1.5367157
8,0.09696482,0.40446368,-2.5264225,3.240924,-1.0859401,-1.5370702
8,19.879095,-0.89140594,1.5347695,-0.32661515,-1.0859401,-0.8117529
8,21.392025,0.14529002,1.5200902,-0.28192958,-1.0859401,-1.1843854
8,1.9017847,0.40446368,-2.5611544,13.354092,-1.0859401,-1.1302941
8,16.054964,-0.89140594,0.90811986,-0.32821247,-1.0859401,-0.6254366
8,15.713307,0.40446368,1.103592,-0.3569151,-1.0859401,-1.0396297
8,15.12042,0.40446368,1.708933,-0.33324498,-1.0859401,-0.93623877
66,-0.19507737,0.14447375,-2.5622396,7.2021465,3.8293312,1.0289482
5,-0.19507737,1.1587485,-2.5755587,19.36762,-0.37106925,1.5664963
47,0.0546266,-1.6723868,-2.4987738,6.8780065,-0.41873875,2.521174
47,-0.19507737,-1.4132124,-2.5770044,47.094948,-0.41873875,-1.1256471
8,-0.19507737,0.14522143,-2.5770044,47.094948,-0.32856575,-1.3948303
8,3.9037418,0.6659706,-1.2779212,0.1500345,-0.28910142,2.7908092
5,2.2434418,-0.36743677,-1.9637301,0.17531353,0.2748648,2.2525582
5,0.5438062,-0.62661046,-2.38278,2.8237917,0.2748648,2.4180138
42,0.010812624,0.37825653,-2.377751,1.1975007,1.7376426,1.4857543
42,-0.06221068,-1.4359605,-2.5227103,4.214834,1.7376426,-1.1441342
