nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
8,15.784754,-0.8896492,1.6338067,-0.31836522,-0.9207819,-1.4124428
8,14.456087,0.40622044,1.2062267,-0.32559207,-0.9207819,-1.1432432
8,15.253286,-0.8896492,1.2859719,-0.29043183,-0.9207819,0.078454696
8,11.410176,-0.11212754,1.708933,-0.333921,-0.9207819,-0.95710874
8,-0.19507737,-0.38067073,-2.508508,7.0023103,-0.8154985,1.5267153
8,12.169415,0.9151989,1.1726131,-0.2813747,-0.8154985,0.6581028
8,15.462077,-0.12149643,1.2150162,-0.29020613,-0.8154985,0.14060049
8,21.752663,-0.38067073,1.3924125,-0.24460661,-0.8154985,-0.915158
8,15.215325,1.4335469,1.5535108,-0.27256843,-0.8154985,0.69959754
8,11.8847,0.39685094,1.4488479,-0.30776224,-0.8154985,0.4509828
8,-0.1468871,1.1743731,-2.4929821,7.216584,-0.8154985,2.2723024
8,12.226357,1.4335469,0.5710921,-0.2838871,-0.8154985,0.1612707
8,-0.19507737,0.13767725,-2.5218017,9.564828,-0.8154985,2.1892436
8,16.092928,-0.12149643,1.2253505,-0.3033425,-0.8154985,0.16133411
8,-0.19507737,0.39685094,-2.4987738,6.875937,-0.8154985,1.7131238
8,15.979041,0.9151989,1.331487,-0.3218514,-0.8154985,-0.2528216
8,11.429157,0.39685094,1.2126268,-0.33600685,-0.8154985,-0.3979682
8,19.38559,0.39685094,1.644886,-0.31135583,-0.8154985,0.16139932
8,15.37165,-0.6398444,1.2134851,-0.3489035,-0.8154985,-0.5634195
8,-0.19507737,1.1743731,2.0659008,-0.23197575,-0.8154985,2.086222
47,-0.19507737,0.6473286,-2.5479438,7.342939,-0.30793604,-1.5175064
61,-0.19507737,-1.6831762,-2.5755587,19.36762,-0.40189064,-0.4420248
35,-0.19507737,-0.6315859,-2.5218017,9.564828,-0.13686633,-0.46117595
25,-0.19507737,1.6914415,-2.5479438,7.342939,-0.24398871,-1.4760936
35,-0.19507737,-0.64856386,-2.509638,8.36628,-0.15923867,0.44998258
14,-0.19507737,-0.12089025,-0.70551187,-0.26250607,10.058617,0.30545905
14,-0.19507737,1.1749793,-0.058032393,-0.2910409,10.058617,0.533235
14,-0.19507737,0.9158057,0.24018581,-0.2474267,10.058617,0.077695616
14,-0.19507737,0.9158057,-0.30319247,-0.215151,10.058617,-0.19149062
14,-0.19507737,-0.12089025,0.721229,-0.3202381,10.058617,-0.06724711
14,-0.19507737,0.9158057,-0.01575327,-0.23806867,10.058617,1.5478493
14,-0.09432052,-0.12089025,0.25188154,-0.30864045,10.058617,1.5685635
14,-0.19507737,0.9158057,0.99277264,-0.27965185,10.058617,1.2579634
14,-0.19507737,-0.12089025,0.3973647,-0.3116929,10.058617,0.94736534
14,-0.19507737,-0.12089025,-0.21103242,-0.29194593,10.058617,0.056986816
14,-0.027149292,1.1749793,1.4182694,-0.32024303,10.058617,-0.85408056
14,-0.19507737,-0.12089025,-0.41296166,-0.28425723,10.058617,0.8024162
14,-0.19507737,0.9158057,-0.1475422,-0.22205488,10.058617,-0.29502195
14,-0.19507737,0.13828404,0.6130797,-0.28195688,10.058617,-1.019742
14,-0.19507737,1.1749793,-2.536785,4.1465793,10.058617,1.4643755
14,-0.19507737,-0.12089025,0.93229854,-0.32459542,10.058617,1.0301929
14,-0.19507737,0.9158057,0.7494299,-0.27248815,10.058617,-0.08795331
14,-0.19507737,1.1749793,-0.28851312,-0.28265545,10.058617,0.65747225
14,-0.027149292,0.9158057,1.1792449,-0.32113323,10.058617,-1.3303279
14,-0.19507737,-0.12089025,0.8267714,-0.32121912,10.058617,-0.025834143
14,0.4225926,0.39745772,1.5198901,-0.2752149,10.058617,-0.08792295
14,0.5174974,-0.38006392,1.4780906,-0.27373096,10.058617,-0.025798824
14,-0.19507737,-0.12089025,-2.4856277,1.8096583,10.058617,1.4439857
14,-0.19507737,0.9158057,0.1028614,-0.24498987,10.058617,1.5271437
14,-0.19507737,0.39745772,0.47343156,-0.31981793,10.058617,-1.0197424
14,-0.19507737,-0.12089025,-0.37535754,-0.2850051,10.058617,0.740297
14,-0.19507737,-0.12089025,0.603847,-0.31888643,10.058617,0.92665994
14,-0.19507737,-0.12089025,-0.65415,-0.26672554,10.058617,-0.08796188
14,-0.19507737,0.9158057,-0.33863533,-0.21394518,10.058617,-0.66773796
14,-0.19507737,0.9158057,-2.3705277,1.6149436,10.058617,-0.8335577
14,-0.19507737,0.9158057,0.4966206,-0.2584862,10.058617,0.09840305
14,-0.19507737,0.9158057,-2.1672697,0.53305876,10.058617,-0.06732113
14,-0.19507737,-0.12089025,0.72429913,-0.3202381,10.058617,1.0508987
14,-0.19507737,0.9158057,0.95879984,-0.27769482,10.058617,-0.66773206
14,-0.19507737,0.9158057,0.538502,-0.26115385,10.058617,0.3054673
