_url,name,birth_year,weight,height,nationality
gert-steegmans,Gert  Steegmans,1980.0,82.0,190.0,Belgium
marco-haller,Marco  Haller,1991.0,72.0,178.0,Austria
matthew-holmes,Matthew  Holmes,1993.0,67.0,178.0,Great Britain
moreno-hofland,Moreno  Hofland,1991.0,71.0,179.0,Netherlands
venancio-teran,Venancio  Teran,1961.0,70.19924487279422,187.7231535749697,France
jos-van-emden,Jos van Emden,1985.0,78.0,186.0,Netherlands
michael-matthews,Michael  Matthews,1990.0,72.0,178.0,Australia
juan-ayuso-pesquera,Juan  Ayuso,2002.0,65.0,183.0,Spain
jorge-azanza,Jorge  Azanza,1982.0,68.0,185.0,Spain
valentin-dorronsoro,Valentin  Dorronsoro,1959.0,60.84749786883101,177.63746221368714,Spain
eddy-verstraeten,Eddy  Verstraeten,1948.0,71.3737047984108,183.75322917718614,Belgium
peter-mazur,Peter  Mazur,1982.0,73.0,177.0,Poland
paulo-jose-dos-santos-ferreira,Paulo José dos Santos  Ferreira,1962.0,65.26038442362989,176.79267220724802,Portugal
wim-omloop,Wim  Omloop,1971.0,58.50455806701586,171.35907486554873,Belgium
sascha-henrix,Sascha  Henrix,1973.0,73.74662361999317,181.85892357787847,Germany
manuele-tarozzi,Manuele  Tarozzi,1998.0,54.021147248157455,167.63022552022062,Italy
einer-rubio,Einer  Rubio,1998.0,56.0,164.0,Colombia
roy-knickman,Roy  Knickman,1965.0,66.4565840610389,176.96589458609392,United States
alberto-minetti,Alberto  Minetti,1957.0,69.0,181.0,Italy
luigi-della-bianca,Luigi Della Bianca,1972.0,71.6725727780554,185.1980554253014,Italy
jannes-slendebroek,Jannes  Slendebroek,1959.0,71.4155178237736,181.33962290323853,Netherlands
primoz-cerin,Primož  Čerin,1962.0,72.47697012677455,183.83512662278264,Yugoslavia
santiago-perez,Santiago  Pérez,1977.0,61.0,179.0,Spain
francisco-leon,Francisco  León,1973.0,68.42781434810759,177.4661311365755,Spain
rein-taaramae,Rein  Taaramäe,1987.0,68.0,186.0,Estonia
anselmo-fuerte-abelenda,Anselmo  Fuerte,1962.0,61.088749913858635,177.6165305550058,Spain
sebastien-chavanel,Sébastien  Chavanel,1981.0,77.0,183.0,France
andrei-nechita,Andrei  Nechita,1988.0,71.0,183.0,Romania
tadej-pogacar,Tadej  Pogačar,1998.0,66.0,176.0,Slovenia
jay-sweet,Jay  Sweet,1975.0,69.0,175.0,Australia
nic-hamilton,Nic  Hamilton,1986.0,71.35445951521746,188.2968019020362,Canada
