points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,143800.0,2617.0,5.0,855,49,40.0,413.0,1
10.0,20.0,170200.0,3406.0,5.0,781,5,40.0,48.0,0
0.0,0.0,115600.0,748.0,1.0,1551,16,65.0,0.0,0
60.0,160.0,256600.00000000003,1380.0,1.0,775,9,44.0,215.0,0
0.0,0.0,155200.0,3582.0,5.0,1182,12,67.0,73.0,0
0.0,0.0,153000.0,1378.0,5.0,530,60,52.0,404.0,1
70.0,150.0,208900.0,2949.0,2.0,1584,2,48.0,0.0,0
0.0,0.0,35000.0,84.0,1.0,835,67,43.0,226.0,1
0.0,0.0,142900.0,3554.0,5.0,981,19,31.0,303.0,0
0.0,0.0,148400.0,2669.0,2.0,225,12,24.0,118.0,0
0.0,0.0,176000.0,337.0,1.0,621,117,41.0,87.0,1
0.0,0.0,147900.0,4015.0,5.0,781,69,64.0,1756.0,1
0.0,0.0,190800.0,1929.0,1.0,1182,31,47.0,0.0,1
0.0,0.0,196500.0,2958.0,2.0,789,89,36.0,32.0,1
0.0,0.0,31900.0,96.0,1.0,789,18,32.0,112.0,0
0.0,0.0,184300.0,2456.0,3.0,156,112,38.0,708.0,1
7.0,15.0,170800.0,2287.0,2.0,539,6,49.0,0.0,0
5.0,0.0,204000.0,2867.0,2.0,817,11,34.0,175.0,0
0.0,0.0,172000.0,3626.0,5.0,817,173,56.0,2151.0,1
2.0,10.0,182400.0,3441.0,5.0,1584,14,38.0,507.0,0
0.0,0.0,13900.0,4.0,1.0,1059,29,51.0,54.0,1
0.0,0.0,188800.0,3408.0,4.0,1182,16,36.0,343.0,0
5.0,0.0,204100.0,2017.0,2.0,860,63,43.0,506.0,1
0.0,0.0,133500.0,3471.0,4.0,1584,78,52.0,1239.0,1
0.0,0.0,150000.0,1817.0,2.0,817,74,49.0,46.0,1
0.0,0.0,193000.0,3610.0,3.0,1044,68,42.0,831.0,1
7.0,10.0,137800.0,3472.0,4.0,719,6,55.0,49.0,0
40.0,15.0,13200.0,21.0,1.0,1551,4,47.0,10.0,0
0.0,0.0,185600.0,2703.0,2.0,741,127,27.0,783.0,1
10.0,0.0,30900.0,179.0,1.0,968,8,65.0,106.0,0
0.0,0.0,196000.0,4730.0,4.0,817,19,50.0,179.0,0
0.0,0.0,184000.0,1303.0,1.0,621,17,39.0,0.0,0
0.0,0.0,154000.0,1660.0,1.0,1044,18,31.0,0.0,0
0.0,0.0,163700.0,815.0,1.0,981,67,43.0,0.0,1
0.0,0.0,190100.0,2610.0,3.0,767,108,30.0,1639.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,44,45.0,74.0,1
5.0,0.0,257200.0,4342.0,2.0,1101,100,52.0,825.0,1
0.0,0.0,177600.0,3006.0,3.0,225,48,43.0,121.0,1
0.0,0.0,190800.0,2062.0,2.0,767,17,58.0,0.0,0
3.0,8.0,211000.0,4654.0,4.0,855,8,47.0,58.0,0
0.0,0.0,7510.0,100.0,2.0,741,11,39.0,21.0,0
0.0,0.0,160300.0,3312.0,5.0,968,125,68.0,1443.0,1
24.0,30.0,272500.0,2289.0,2.0,759,18,52.0,67.0,0
42.0,85.0,221400.0,4124.0,2.0,864,10,38.0,31.0,0
5.0,0.0,183700.0,1649.0,2.0,648,99,50.0,523.0,1
0.0,0.0,5120.0,39.0,1.0,508,17,48.0,17.0,0
0.0,0.0,129700.0,3364.0,5.0,1551,110,32.0,1623.0,1
13.0,0.0,15840.0,884.0,5.0,508,4,73.0,64.0,0
0.0,0.0,170000.0,2063.0,2.0,1059,70,71.0,0.0,1
0.0,0.0,208900.0,2949.0,2.0,1584,94,48.0,791.0,1
0.0,0.0,218000.0,2503.0,3.0,1044,90,54.0,598.0,1
40.0,15.0,192900.0,3743.0,3.0,1551,4,34.0,40.0,0
0.0,0.0,207920.0,2625.0,2.0,741,17,56.0,0.0,0
0.0,0.0,218000.0,4143.0,5.0,835,106,32.0,1381.0,1
0.0,0.0,168200.0,2327.0,2.0,508,78,56.0,0.0,1
0.0,0.0,196000.0,1764.0,2.0,817,152,37.0,1088.0,1
0.0,0.0,154000.0,1660.0,1.0,1044,51,31.0,0.0,1
