points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,195000.0,5091.0,5.0,1058,109,8.0,2077.0,1
5.0,0.0,264900.0,2174.0,2.0,829,64,30.0,428.0,1
0.0,0.0,227000.0,2347.0,1.0,1255,115,37.0,0.0,1
0.0,0.0,24000.0,561.0,2.0,935,80,54.0,205.0,1
0.0,0.0,97300.0,3429.0,5.0,1036,27,46.0,512.0,1
0.0,0.0,180000.0,2577.0,2.0,971,35,31.0,16.0,1
0.0,-0.0,154200.0,3728.0,5.0,971,145,23.0,1545.0,1
0.0,0.0,186700.0,3549.0,5.0,852,24,48.0,600.0,1
0.0,0.0,198000.0,2680.0,3.0,1703,117,23.0,127.0,1
0.0,-0.0,175000.0,3304.0,4.0,883,106,26.0,1118.0,1
0.0,0.0,212000.0,2112.0,2.0,923,33,11.0,0.0,1
0.0,0.0,200000.0,3389.0,2.0,920,77,9.0,779.0,1
0.0,0.0,190400.0,4559.0,5.0,798,120,61.0,2324.0,1
34.0,39.0,260000.0,4070.0,2.0,403,14,28.0,528.0,0
4.0,0.0,189000.0,5268.0,5.0,1713,13,35.0,224.0,0
10.0,0.0,8000.0,66.0,1.0,1036,8,46.0,21.0,0
0.0,0.0,155600.0,2208.0,2.0,804,49,9.0,67.0,1
0.0,0.0,46000.0,971.0,4.0,1342,37,29.0,456.0,1
13.0,2.0,180000.0,2651.0,3.0,1020,4,42.0,0.0,0
0.0,0.0,182900.0,1534.0,2.0,1646,72,33.0,26.0,1
0.0,0.0,176500.0,837.0,1.0,1690,180,33.0,318.0,1
0.0,0.0,167000.0,2099.0,1.0,1026,33,31.0,0.0,1
5.0,8.0,206100.0,1863.0,2.0,727,48,55.0,132.0,1
0.0,-0.0,181000.0,3500.0,2.0,1994,132,23.0,1315.0,1
24.0,27.0,259000.0,1403.0,1.0,607,18,10.0,379.0,0
0.0,-0.0,196200.0,2493.0,3.0,880,79,4.0,93.0,1
0.0,0.0,195400.0,2915.0,3.0,902,81,25.0,553.0,1
0.0,0.0,39400.0,738.0,2.0,852,24,48.0,154.0,1
0.0,0.0,247000.0,2363.0,2.0,819,77,13.0,15.0,1
0.0,0.0,203000.0,1936.0,2.0,1017,17,44.0,0.0,0
0.0,0.0,184600.0,2589.0,3.0,852,178,13.0,501.0,1
0.0,0.0,108400.0,699.0,1.0,1646,32,52.0,0.0,1
0.0,-0.0,164000.0,1766.0,2.0,1812,123,6.0,774.0,1
7.0,0.0,191400.0,2356.0,3.0,762,6,30.0,0.0,0
0.0,-0.0,198600.0,1577.0,2.0,594,132,26.0,819.0,1
0.0,-0.0,45700.0,1004.0,2.0,1470,84,-3.0,418.0,1
0.0,0.0,179000.0,2085.0,1.0,1225,81,42.0,0.0,1
5.0,1.0,269000.0,2377.0,2.0,909,90,25.0,1067.0,1
1.0,0.0,79000.0,1017.0,2.0,1812,15,24.0,88.0,0
18.0,30.0,265700.0,3536.0,2.0,1020,17,27.0,54.0,0
0.0,0.0,216600.0,4336.0,5.0,802,65,72.0,925.0,1
0.0,0.0,175000.0,3565.0,5.0,852,125,28.0,889.0,1
0.0,0.0,4300.0,201.0,1.0,678,33,33.0,11.0,1
0.0,0.0,237500.0,1934.0,2.0,1758,97,43.0,0.0,1
0.0,-0.0,206000.0,2878.0,2.0,518,92,33.0,200.0,1
5.0,0.0,205700.0,3779.0,2.0,824,97,16.0,591.0,1
35.0,20.0,131000.0,1106.0,5.0,881,3,28.0,9.0,0
0.0,0.0,255000.0,4000.0,2.0,2047,145,0.0,1073.0,1
5.0,8.0,244000.0,2873.0,2.0,1254,31,20.0,16.0,1
0.0,-0.0,46000.0,1097.0,1.0,1871,41,18.0,376.0,1
0.0,0.0,195000.0,1155.0,1.0,1689,102,29.0,0.0,1
0.0,0.0,169700.0,3618.0,2.0,1170,85,34.0,462.0,1
0.0,0.0,204500.0,2704.0,3.0,1689,135,70.0,472.0,1
0.0,0.0,179000.0,3187.0,2.0,1685,139,45.0,947.0,1
0.0,0.0,138900.0,2046.0,2.0,760,51,37.0,92.0,1
40.0,5.0,149000.0,1734.0,2.0,1959,4,6.0,0.0,0
0.0,-0.0,207000.0,791.0,1.0,734,132,17.0,92.0,1
0.0,0.0,161300.0,2723.0,3.0,972,96,47.0,912.0,1
0.0,0.0,180500.0,1759.0,2.0,960,99,29.0,233.0,1
0.0,0.0,175000.0,1620.0,1.0,1128,42,51.0,0.0,1
0.0,0.0,184000.0,255.0,1.0,751,107,43.0,0.0,1
0.0,-0.0,143500.0,3000.0,2.0,1872,144,18.0,1586.0,1
0.0,0.0,153300.0,1822.0,2.0,811,46,22.0,0.0,1
0.0,0.0,231700.0,3954.0,5.0,859,59,32.0,948.0,1
50.0,8.0,26800.0,1679.0,5.0,892,2,56.0,17.0,0
0.0,0.0,213300.0,3851.0,5.0,1198,66,28.0,1010.0,1
0.0,0.0,260000.0,1675.0,1.0,1812,71,28.0,92.0,1
0.0,-0.0,87000.0,1434.0,2.0,714,81,18.0,31.0,1
0.0,-0.0,198500.0,1522.0,1.0,1437,72,29.0,469.0,1
0.0,0.0,136000.0,2797.0,4.0,861,188,29.0,1332.0,1
0.0,0.0,179000.0,3660.0,4.0,844,65,22.0,429.0,1
5.0,1.0,257500.0,3755.0,3.0,1175,112,21.0,509.0,1
0.0,0.0,173000.0,2226.0,2.0,997,133,38.0,0.0,1
0.0,0.0,177000.0,2212.0,2.0,673,83,26.0,0.0,1
0.0,0.0,172500.0,1859.0,1.0,1941,110,29.0,0.0,1
0.0,0.0,4800.0,42.0,1.0,795,89,27.0,22.0,1
0.0,-0.0,79000.0,1017.0,2.0,1812,83,18.0,88.0,1
0.0,-0.0,122000.0,3406.0,5.0,1492,45,5.0,310.0,1
5.0,1.0,167000.0,797.0,1.0,1177,11,58.0,0.0,0
55.0,60.0,252800.0,4402.0,2.0,1794,13,28.0,11.0,0
0.0,0.0,223000.0,2767.0,3.0,1092,50,15.0,60.0,1
0.0,0.0,149000.0,1009.0,1.0,886,102,35.0,0.0,1
0.0,0.0,160200.0,2258.0,2.0,936,124,37.0,207.0,1
0.0,-0.0,196500.0,1781.0,1.0,1362,102,6.0,156.0,1
0.0,-0.0,153000.0,2789.0,3.0,995,152,32.0,331.0,1
0.0,0.0,165700.0,3448.0,5.0,1023,41,33.0,744.0,1
0.0,-0.0,166000.0,1297.0,1.0,1206,119,21.0,0.0,1
0.0,0.0,179000.0,2849.0,2.0,795,19,25.0,93.0,0
10.0,1.0,202000.0,3748.0,4.0,1034,8,19.0,48.0,0
