points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
4.0,0.0,204000.0,2867.0,2.0,817,12,34.0,175.0,0
0.0,0.0,168000.0,3950.0,4.0,817,35,42.0,695.0,1
0.0,0.0,190000.0,3359.0,2.0,968,37,34.0,29.0,1
15.0,0.0,266900.0,4167.0,2.0,1052,76,41.0,380.0,1
0.0,0.0,191100.0,2018.0,2.0,781,71,54.0,386.0,1
0.0,0.0,169800.0,2956.0,2.0,789,34,41.0,5.0,1
8.0,25.0,168800.0,3120.0,2.0,1584,11,48.0,254.0,0
0.0,0.0,137800.0,2413.0,5.0,1584,56,52.0,1093.0,1
0.0,0.0,13200.0,21.0,1.0,1551,81,39.0,62.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,77,45.0,323.0,1
15.0,0.0,189400.0,1076.0,1.0,968,6,49.0,8.0,0
0.0,0.0,163760.0,3485.0,3.0,741,21,27.0,75.0,1
3.0,0.0,172000.0,3626.0,5.0,817,13,41.0,157.0,0
22.0,30.0,253000.0,4852.0,2.0,1019,19,49.0,134.0,0
0.0,0.0,175100.0,518.0,1.0,968,153,37.0,0.0,1
0.0,0.0,182000.0,3221.0,3.0,1584,159,47.0,1011.0,1
50.0,25.0,202500.0,2416.0,2.0,1551,3,45.0,0.0,0
0.0,0.0,206300.0,2478.0,2.0,722,13,31.0,0.0,0
0.0,0.0,193800.0,3261.0,2.0,719,115,52.0,777.0,1
30.0,25.0,178000.0,2729.0,3.0,508,2,33.0,0.0,0
275.0,800.0,273400.0,2185.0,2.0,918,1,53.0,0.0,0
0.0,0.0,202000.0,5268.0,4.0,817,18,27.0,502.0,0
15.0,45.0,197000.0,523.0,1.0,835,6,33.0,0.0,0
0.0,0.0,25700.0,363.0,1.0,855,38,38.0,98.0,1
12.0,0.0,203000.0,369.0,1.0,817,7,36.0,0.0,0
0.0,0.0,153400.0,3741.0,5.0,968,88,60.0,838.0,1
7.0,8.0,185000.0,2741.0,5.0,530,6,42.0,15.0,0
4.0,0.0,148100.0,2733.0,5.0,1551,13,24.0,116.0,0
0.0,0.0,184000.0,1303.0,1.0,621,50,39.0,0.0,1
18.0,0.0,192600.0,2109.0,2.0,1551,8,36.0,345.0,0
4.0,0.0,190100.0,2610.0,3.0,767,7,33.0,6.0,0
0.0,0.0,203000.0,369.0,1.0,817,123,36.0,23.0,1
0.0,0.0,193800.0,3261.0,2.0,719,93,52.0,560.0,1
35.0,95.0,18600.0,1070.0,5.0,835,3,43.0,42.0,0
0.0,0.0,193200.0,255.0,1.0,968,172,63.0,175.0,1
0.0,0.0,148100.0,2733.0,5.0,1551,113,53.0,1387.0,1
150.0,325.0,266900.0,4167.0,2.0,1052,4,41.0,141.0,0
0.0,0.0,151000.0,518.0,1.0,530,12,67.0,10.0,0
0.0,0.0,161100.0,3394.0,5.0,722,129,42.0,886.0,1
0.0,0.0,165400.0,2514.0,3.0,719,137,68.0,74.0,1
4.0,15.0,213000.0,1777.0,2.0,835,12,30.0,0.0,0
0.0,0.0,166700.0,3538.0,5.0,722,18,35.0,54.0,0
18.0,30.0,191100.0,2018.0,2.0,781,3,54.0,31.0,0
10.0,0.0,151700.0,4070.0,5.0,1551,10,54.0,277.0,0
60.0,95.0,183700.0,1649.0,2.0,648,7,50.0,5.0,0
0.0,0.0,196500.0,2958.0,2.0,789,89,36.0,32.0,1
0.0,0.0,171500.0,1785.0,1.0,1551,26,29.0,8.0,1
7.0,0.0,171200.0,1688.0,3.0,722,6,35.0,0.0,0
18.0,10.0,177600.0,2746.0,2.0,767,3,51.0,0.0,0
5.0,0.0,183700.0,1459.0,2.0,866,128,45.0,444.0,1
0.0,0.0,181200.0,4120.0,5.0,968,110,36.0,1600.0,1
0.0,0.0,31100.0,408.0,2.0,781,22,50.0,113.0,1
0.0,0.0,175100.0,518.0,1.0,968,41,37.0,0.0,1
0.0,0.0,173700.0,1893.0,2.0,855,84,55.0,0.0,1
0.0,0.0,153000.0,1378.0,5.0,530,88,52.0,643.0,1
2.0,5.0,162000.0,2581.0,2.0,835,14,38.0,0.0,0
0.0,0.0,9200.0,81.0,1.0,817,57,40.0,42.0,1
35.0,95.0,185000.0,2348.0,2.0,835,3,41.0,3.0,0
3.0,6.0,175700.0,3091.0,2.0,719,8,49.0,2.0,0
0.0,0.0,25700.0,363.0,1.0,855,33,38.0,88.0,1
0.0,0.0,183500.0,2453.0,2.0,855,89,44.0,0.0,1
7.0,0.0,138600.0,2121.0,2.0,722,6,35.0,0.0,0
3.0,0.0,181000.0,3977.0,4.0,968,13,24.0,83.0,0
18.0,0.0,143200.0,4036.0,5.0,1551,8,36.0,207.0,0
0.0,0.0,74600.0,2456.0,5.0,835,37,37.0,320.0,1
0.0,0.0,196000.0,4730.0,4.0,817,71,50.0,943.0,1
0.0,0.0,168200.0,2327.0,2.0,508,53,56.0,0.0,1
0.0,0.0,188800.0,3408.0,4.0,1182,23,36.0,343.0,1
18.0,10.0,13400.0,188.0,1.0,1182,3,47.0,6.0,0
0.0,0.0,196000.0,1764.0,2.0,817,130,37.0,591.0,1
0.0,0.0,181200.0,4120.0,5.0,968,71,36.0,1193.0,1
10.0,0.0,13900.0,4.0,1.0,1059,5,51.0,25.0,0
4.0,0.0,202000.0,3092.0,3.0,1059,7,51.0,5.0,0
0.0,0.0,177600.0,2746.0,2.0,767,66,51.0,279.0,1
30.0,25.0,155200.0,3582.0,5.0,1182,2,67.0,0.0,0
0.0,0.0,155200.0,3582.0,5.0,1182,52,67.0,1094.0,1
0.0,0.0,164600.0,2091.0,3.0,704,62,30.0,10.0,1
0.0,0.0,151000.0,518.0,1.0,530,11,67.0,0.0,0
50.0,40.0,180000.0,388.0,1.0,621,1,46.0,0.0,0
2.0,3.0,174100.0,2534.0,2.0,704,9,39.0,0.0,0
0.0,0.0,162800.0,2799.0,3.0,719,41,32.0,112.0,1
5.0,0.0,184000.0,3107.0,3.0,688,93,77.0,858.0,1
2.0,3.0,165400.0,2514.0,3.0,719,9,68.0,0.0,0
0.0,0.0,193500.0,2667.0,2.0,1584,124,31.0,77.0,1
0.0,0.0,31900.0,96.0,1.0,789,73,32.0,206.0,1
5.0,0.0,193200.0,255.0,1.0,968,11,27.0,0.0,0
8.0,25.0,172800.0,1934.0,2.0,1584,11,35.0,39.0,0
0.0,0.0,165000.0,1993.0,2.0,225,11,36.0,0.0,0
