points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,179000.0,4483.0,5.0,1584,22,39.0,435.0,1
0.0,0.0,202200.0,1149.0,1.0,1551,34,42.0,0.0,1
0.0,0.0,181000.0,3977.0,4.0,968,64,44.0,1395.0,1
0.0,0.0,170000.0,522.0,1.0,530,59,49.0,0.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,132,45.0,551.0,1
0.0,0.0,133500.0,3471.0,4.0,1584,54,60.0,998.0,1
0.0,0.0,144900.0,3894.0,5.0,1584,170,65.0,2247.0,1
0.0,0.0,164500.0,3187.0,2.0,719,45,34.0,122.0,1
0.0,0.0,204000.0,2867.0,2.0,817,37,34.0,548.0,1
0.0,0.0,5120.0,39.0,1.0,508,83,48.0,33.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,66,45.0,244.0,1
0.0,0.0,190100.0,2610.0,3.0,767,11,33.0,9.0,0
0.0,0.0,188800.0,3408.0,4.0,1182,84,36.0,1048.0,1
0.0,0.0,164500.0,3187.0,2.0,719,47,34.0,122.0,1
0.0,0.0,173700.0,1893.0,2.0,855,79,70.0,0.0,1
0.0,0.0,174000.0,304.0,1.0,530,54,41.0,0.0,1
0.0,0.0,208900.0,2949.0,2.0,1584,142,48.0,1095.0,1
0.0,0.0,161000.0,4153.0,5.0,835,36,69.0,663.0,1
0.0,0.0,7510.0,100.0,2.0,741,95,39.0,56.0,1
0.0,0.0,207000.0,2790.0,2.0,835,101,38.0,1278.0,1
0.0,0.0,179000.0,4483.0,5.0,1584,48,30.0,1180.0,1
0.0,0.0,168400.0,1766.0,1.0,968,135,63.0,291.0,1
0.0,0.0,133500.0,3471.0,4.0,1584,60,60.0,1047.0,1
0.0,0.0,17400.0,317.0,2.0,817,147,32.0,315.0,1
5.0,0.0,202100.0,3160.0,3.0,971,136,59.0,1010.0,1
0.0,0.0,179000.0,4483.0,5.0,1584,148,22.0,2114.0,1
0.0,0.0,194100.0,2089.0,2.0,781,107,48.0,0.0,1
5.0,0.0,272500.0,2289.0,2.0,759,73,52.0,530.0,1
0.0,0.0,213000.0,1777.0,2.0,835,56,30.0,0.0,1
0.0,0.0,150000.0,1817.0,2.0,817,120,49.0,464.0,1
0.0,0.0,178500.0,3418.0,4.0,1551,122,31.0,1881.0,1
50.0,40.0,180000.0,388.0,1.0,621,1,46.0,0.0,0
0.0,0.0,213000.0,1777.0,2.0,835,60,30.0,20.0,1
0.0,0.0,153000.0,1378.0,5.0,530,56,52.0,404.0,1
0.0,0.0,206300.0,2478.0,2.0,722,107,43.0,23.0,1
0.0,0.0,207000.0,2790.0,2.0,835,157,38.0,1493.0,1
0.0,0.0,193800.0,3261.0,2.0,719,82,52.0,262.0,1
0.0,0.0,177000.0,4019.0,5.0,817,118,34.0,2311.0,1
0.0,0.0,185000.0,2741.0,5.0,530,105,42.0,1101.0,1
10.0,0.0,190800.0,2062.0,2.0,767,5,58.0,0.0,0
0.0,0.0,148000.0,1364.0,5.0,621,110,42.0,1107.0,1
6.0,0.0,192000.0,3680.0,5.0,968,10,46.0,13.0,0
0.0,0.0,194100.0,2089.0,2.0,781,68,48.0,0.0,1
0.0,0.0,182000.0,3221.0,3.0,1584,36,47.0,33.0,1
0.0,0.0,193800.0,3261.0,2.0,719,70,52.0,20.0,1
0.0,0.0,165700.0,5399.0,4.0,1584,34,38.0,1134.0,1
0.0,0.0,201000.0,1150.0,1.0,817,120,28.0,0.0,1
0.0,0.0,168400.0,1766.0,1.0,968,58,30.0,27.0,1
5.0,0.0,293000.0,2096.0,2.0,938,132,39.0,675.0,1
0.0,0.0,115600.0,2436.0,4.0,1182,59,26.0,1063.0,1
0.0,0.0,194000.0,2336.0,2.0,835,127,52.0,1380.0,1
4.0,0.0,138300.0,2278.0,4.0,968,12,32.0,0.0,0
0.0,0.0,213000.0,1777.0,2.0,835,52,30.0,0.0,1
0.0,0.0,190000.0,3359.0,2.0,968,35,34.0,29.0,1
0.0,0.0,137800.0,2413.0,5.0,1584,70,52.0,1106.0,1
0.0,0.0,11500.0,3.0,1.0,1044,110,64.0,106.0,1
0.0,0.0,11500.0,3.0,1.0,1044,123,64.0,111.0,1
0.0,0.0,171500.0,1785.0,1.0,1551,132,53.0,232.0,1
0.0,0.0,153400.0,3741.0,5.0,968,145,60.0,1666.0,1
0.0,0.0,157000.0,601.0,1.0,1551,127,48.0,564.0,1
1.0,0.0,181000.0,2646.0,5.0,621,10,48.0,3.0,0
0.0,0.0,219000.0,2430.0,2.0,835,95,45.0,0.0,1
0.0,0.0,177600.0,2746.0,2.0,767,60,51.0,247.0,1
0.0,0.0,170000.0,2063.0,2.0,1059,85,23.0,0.0,1
0.0,0.0,171000.0,2529.0,2.0,835,109,43.0,0.0,1
0.0,0.0,195000.0,1390.0,3.0,817,74,55.0,54.0,1
0.0,0.0,204000.0,2867.0,2.0,817,45,34.0,548.0,1
0.0,0.0,13400.0,188.0,1.0,1182,49,47.0,73.0,1
0.0,0.0,168800.0,3120.0,2.0,1584,77,46.0,803.0,1
3.0,0.0,134800.0,3828.0,5.0,789,8,42.0,40.0,0
0.0,0.0,164700.0,2470.0,5.0,981,72,43.0,837.0,1
0.0,0.0,172800.0,1934.0,2.0,1584,102,35.0,823.0,1
0.0,0.0,169800.0,2956.0,2.0,789,123,62.0,371.0,1
0.0,0.0,185600.0,2703.0,2.0,741,102,28.0,546.0,1
0.0,0.0,216000.0,2601.0,2.0,1044,33,41.0,0.0,1
5.0,0.0,293000.0,2096.0,2.0,938,89,39.0,361.0,1
0.0,0.0,153000.0,1378.0,5.0,530,89,52.0,643.0,1
0.0,0.0,190100.0,2610.0,3.0,767,73,33.0,1639.0,1
0.0,0.0,143800.0,2617.0,5.0,855,26,64.0,130.0,1
0.0,0.0,162700.0,3652.0,4.0,1584,69,40.0,910.0,1
0.0,0.0,173700.0,1893.0,2.0,855,95,64.0,0.0,1
0.0,0.0,211000.0,4654.0,4.0,855,95,47.0,1300.0,1
0.0,0.0,148100.0,2733.0,5.0,1551,119,53.0,1582.0,1
0.0,0.0,165700.0,5399.0,4.0,1584,64,38.0,2113.0,1
0.0,0.0,159200.0,707.0,1.0,1182,147,26.0,577.0,1
0.0,0.0,177500.0,4155.0,5.0,767,71,52.0,1456.0,1
0.0,0.0,168000.0,3950.0,4.0,817,20,42.0,321.0,1
0.0,0.0,152500.0,2319.0,3.0,968,149,47.0,1100.0,1
17.0,30.0,258100.00000000003,4443.0,2.0,1042,23,43.0,195.0,1
0.0,0.0,196500.0,2958.0,2.0,789,127,28.0,307.0,1
0.0,0.0,161000.0,4153.0,5.0,835,65,31.0,1422.0,1
0.0,0.0,164600.0,2091.0,3.0,704,48,30.0,10.0,1
0.0,0.0,162000.0,2581.0,2.0,835,151,37.0,1105.0,1
0.0,0.0,183500.0,2453.0,2.0,855,91,44.0,0.0,1
0.0,0.0,191200.0,1592.0,1.0,968,47,59.0,0.0,1
0.0,0.0,168600.0,2706.0,2.0,722,113,29.0,1535.0,1
50.0,130.0,19600.0,171.0,1.0,835,2,33.0,22.0,0
0.0,0.0,170900.0,2323.0,2.0,539,99,43.0,0.0,1
0.0,0.0,172800.0,1934.0,2.0,1584,146,35.0,1005.0,1
0.0,0.0,169900.0,808.0,1.0,1584,68,28.0,0.0,1
0.0,0.0,171000.0,2529.0,2.0,835,151,43.0,0.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,67,45.0,244.0,1
0.0,0.0,155000.0,2402.0,3.0,1059,73,21.0,443.0,1
0.0,0.0,40700.0,434.0,3.0,1551,82,50.0,390.0,1
0.0,0.0,188200.0,2437.0,2.0,704,29,47.0,0.0,1
0.0,0.0,163760.0,3485.0,3.0,741,76,27.0,781.0,1
0.0,0.0,169400.0,1405.0,2.0,981,110,51.0,2.0,1
5.0,0.0,184000.0,3107.0,3.0,662,83,29.0,888.0,1
0.0,0.0,181000.0,2646.0,5.0,621,97,69.0,1040.0,1
0.0,0.0,182400.0,3441.0,5.0,1584,68,38.0,1340.0,1
0.0,0.0,170000.0,2063.0,2.0,1059,37,71.0,0.0,1
0.0,0.0,115600.0,2436.0,4.0,1182,56,26.0,1063.0,1
0.0,0.0,166000.0,146.0,1.0,530,126,43.0,81.0,1
0.0,0.0,180100.0,4158.0,5.0,508,50,58.0,381.0,1
0.0,0.0,126000.0,692.0,1.0,835,19,24.0,0.0,0
0.0,0.0,215000.0,3817.0,5.0,1059,81,37.0,1730.0,1
0.0,0.0,191000.0,5080.0,5.0,817,92,46.0,1995.0,1
0.0,0.0,5120.0,39.0,1.0,508,89,48.0,34.0,1
0.0,0.0,182400.0,3441.0,5.0,1584,69,38.0,1364.0,1
15.0,0.0,181000.0,3977.0,4.0,968,6,24.0,15.0,0
0.0,0.0,219900.0,2477.0,3.0,1551,108,45.0,448.0,1
0.0,0.0,181000.0,3977.0,4.0,968,115,50.0,1918.0,1
0.0,0.0,185600.0,2703.0,2.0,741,96,28.0,546.0,1
0.0,0.0,193200.0,255.0,1.0,968,132,63.0,0.0,1
0.0,0.0,169800.0,2956.0,2.0,789,133,62.0,776.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,116,45.0,448.0,1
0.0,0.0,165600.0,3682.0,5.0,1044,56,53.0,516.0,1
0.0,0.0,191000.0,5080.0,5.0,817,22,38.0,420.0,1
0.0,0.0,153000.0,1378.0,5.0,530,80,52.0,608.0,1
0.0,0.0,35000.0,84.0,1.0,835,144,43.0,355.0,1
18.0,40.0,165700.0,5399.0,4.0,1584,8,38.0,223.0,0
0.0,0.0,171500.0,1785.0,1.0,1551,60,29.0,8.0,1
0.0,0.0,152500.0,2795.0,4.0,855,156,61.0,1852.0,1
