points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
5.0,0.0,193600.0,2981.0,3.0,1071,103,27.0,539.0,1
0.0,0.0,164500.0,3368.0,4.0,775,18,34.0,52.0,0
0.0,0.0,208000.0,1829.0,1.0,1255,147,13.0,0.0,1
0.0,0.0,162100.0,2410.0,3.0,764,92,29.0,300.0,1
0.0,-0.0,189000.0,496.0,1.0,997,119,21.0,16.0,1
0.0,0.0,170200.0,2080.0,2.0,927,39,17.0,0.0,1
0.0,0.0,185000.0,826.0,1.0,1079,120,47.0,658.0,1
0.0,-0.0,204500.0,3000.0,5.0,1470,100,15.0,292.0,1
0.0,0.0,34800.0,723.0,3.0,896,110,24.0,405.0,1
0.0,-0.0,172400.0,4763.0,5.0,1220,59,37.0,1261.0,1
0.0,0.0,154000.0,3433.0,5.0,844,47,36.0,62.0,1
0.0,-0.0,209000.0,3404.0,4.0,602,67,16.0,870.0,1
0.0,0.0,162100.0,2820.0,4.0,824,152,26.0,704.0,1
5.0,8.0,259000.0,1403.0,1.0,607,36,27.0,392.0,1
0.0,0.0,188000.0,1071.0,2.0,1758,188,40.0,168.0,1
18.0,2.0,3340.0,11.0,1.0,727,3,32.0,6.0,0
10.0,2.0,195000.0,2970.0,3.0,816,5,37.0,15.0,0
30.0,22.0,200000.0,3593.0,4.0,737,2,47.0,19.0,0
0.0,-0.0,179000.0,2122.0,2.0,1034,94,7.0,295.0,1
0.0,-0.0,51000.0,744.0,2.0,1632,48,12.0,374.0,1
0.0,-0.0,247500.0,1382.0,1.0,1872,81,19.0,0.0,1
0.0,-0.0,201000.0,3539.0,4.0,953,99,22.0,966.0,1
14.0,1.0,186000.0,5500.0,4.0,1812,9,15.0,145.0,0
0.0,0.0,200000.0,2418.0,2.0,933,57,44.0,71.0,1
0.0,0.0,16500.0,586.0,2.0,727,32,41.0,95.0,1
0.0,0.0,217000.0,3108.0,3.0,687,87,47.0,624.0,1
0.0,0.0,159400.0,2350.0,3.0,590,117,36.0,418.0,1
50.0,73.0,265000.0,3439.0,2.0,454,10,21.0,267.0,0
0.0,-0.0,207000.0,1070.0,1.0,1177,184,26.0,112.0,1
0.0,0.0,215000.0,2690.0,2.0,926,58,35.0,232.0,1
0.0,0.0,158500.0,1911.0,2.0,1849,79,-4.0,0.0,1
0.0,0.0,188000.0,4725.0,5.0,1023,48,35.0,1243.0,1
0.0,0.0,195000.0,935.0,1.0,1109,24,52.0,0.0,1
0.0,-0.0,34200.0,652.0,2.0,1089,117,23.0,365.0,1
0.0,0.0,209500.0,3088.0,4.0,1699,93,37.0,930.0,1
0.0,-0.0,140500.0,3484.0,5.0,1632,76,-6.0,527.0,1
0.0,-0.0,227000.0,6000.0,5.0,1941,32,16.0,745.0,1
0.0,-0.0,169000.0,1413.0,1.0,1206,21,27.0,0.0,1
0.0,0.0,173000.0,403.0,1.0,892,159,42.0,278.0,1
0.0,-0.0,23900.0,1452.0,5.0,1381,141,-6.0,741.0,1
0.0,0.0,157900.0,2708.0,2.0,1170,150,41.0,1152.0,1
0.0,0.0,38000.0,414.0,1.0,971,113,12.0,358.0,1
26.0,29.0,259000.0,1409.0,1.0,682,17,38.0,288.0,0
0.0,0.0,171000.0,2544.0,2.0,1024,53,22.0,0.0,1
0.0,-0.0,31000.0,667.0,2.0,644,75,29.0,251.0,1
50.0,94.0,238000.0,2910.0,2.0,1483,8,30.0,77.0,0
14.0,16.0,250000.0,3931.0,2.0,741,26,23.0,726.0,1
0.0,-0.0,31000.0,667.0,2.0,644,44,29.0,198.0,1
0.0,0.0,212000.0,4433.0,4.0,885,106,73.0,1565.0,1
0.0,-0.0,52500.0,2412.0,5.0,1470,99,14.0,389.0,1
0.0,0.0,156000.0,3057.0,4.0,895,121,40.0,1124.0,1
0.0,-0.0,3500.0,236.0,2.0,674,62,26.0,20.0,1
12.0,1.0,224000.0,2022.0,2.0,1089,7,11.0,0.0,0
0.0,0.0,177000.0,1424.0,2.0,973,108,62.0,0.0,1
0.0,0.0,150000.0,3050.0,2.0,861,119,20.0,1200.0,1
0.0,-0.0,145000.0,4567.0,5.0,1026,93,14.0,1146.0,1
0.0,-0.0,224000.0,4910.0,5.0,1557,27,40.0,271.0,1
0.0,-0.0,188500.0,1734.0,2.0,1612,30,6.0,579.0,1
0.0,-0.0,192500.0,1808.0,1.0,1555,29,24.0,852.0,1
0.0,0.0,175400.0,2209.0,2.0,790,27,25.0,0.0,1
0.0,0.0,227000.0,1731.0,1.0,1362,27,-4.0,0.0,1
0.0,0.0,173500.0,2341.0,3.0,617,51,45.0,12.0,1
20.0,27.0,242000.0,3789.0,2.0,865,20,32.0,46.0,1
0.0,0.0,153000.0,1549.0,2.0,929,153,14.0,0.0,1
0.0,0.0,180000.0,3936.0,3.0,1058,76,48.0,891.0,1
0.0,0.0,184500.0,3796.0,5.0,1685,22,36.0,171.0,1
11.0,17.0,256000.0,1900.0,2.0,887,29,32.0,38.0,1
0.0,0.0,186000.0,1878.0,2.0,1182,86,32.0,0.0,1
0.0,0.0,85000.0,936.0,3.0,1872,29,22.0,11.0,1
0.0,0.0,207000.0,1663.0,1.0,1175,72,49.0,53.0,1
0.0,0.0,164000.0,2039.0,2.0,1034,68,25.0,346.0,1
0.0,-0.0,185000.0,1607.0,1.0,1342,132,26.0,26.0,1
5.0,0.0,257000.0,1334.0,1.0,690,68,38.0,947.0,1
10.0,1.0,185000.0,3000.0,3.0,838,8,12.0,224.0,0
0.0,-0.0,171500.0,1542.0,1.0,1255,98,18.0,0.0,1
0.0,0.0,195000.0,1512.0,1.0,1872,86,23.0,0.0,1
0.0,0.0,157500.0,3174.0,4.0,714,84,38.0,1346.0,1
0.0,0.0,211000.0,1894.0,1.0,1812,56,6.0,0.0,1
0.0,-0.0,167500.0,1605.0,1.0,1688,76,29.0,0.0,1
0.0,0.0,170500.0,2717.0,2.0,1699,61,29.0,985.0,1
0.0,0.0,172800.0,3224.0,2.0,790,104,27.0,536.0,1
0.0,0.0,129700.0,3561.0,5.0,1646,117,43.0,1393.0,1
0.0,0.0,176000.0,745.0,1.0,975,16,37.0,0.0,0
5.0,10.0,265700.0,3536.0,2.0,1020,49,27.0,259.0,1
0.0,0.0,156800.0,1891.0,2.0,882,37,22.0,12.0,1
0.0,0.0,171200.0,1583.0,2.0,896,141,18.0,3.0,1
0.0,-0.0,82600.0,2429.0,3.0,883,25,12.0,0.0,1
0.0,-0.0,4000.0,309.0,2.0,442,53,39.0,23.0,1
0.0,-0.0,206000.0,2516.0,2.0,920,185,7.0,522.0,1
5.0,0.0,259100.00000000003,4352.0,2.0,1147,71,48.0,186.0,1
5.0,9.0,227000.0,2903.0,2.0,952,43,21.0,0.0,1
5.0,4.0,266000.0,2970.0,2.0,861,52,17.0,425.0,1
5.0,0.0,201600.0,2508.0,3.0,742,118,42.0,572.0,1
0.0,0.0,167800.0,892.0,1.0,616,146,18.0,38.0,1
200.0,400.0,305000.0,2803.0,2.0,1005,2,26.0,0.0,0
4.0,0.0,46000.0,1097.0,1.0,1871,13,18.0,222.0,0
4.0,0.0,218300.0,3542.0,4.0,917,7,29.0,16.0,0
0.0,0.0,210000.0,2462.0,2.0,929,36,25.0,0.0,1
0.0,0.0,170600.0,2415.0,2.0,1041,17,22.0,2.0,0
0.0,0.0,182800.0,2653.0,3.0,590,40,22.0,78.0,1
0.0,0.0,190000.0,1288.0,3.0,861,33,49.0,38.0,1
0.0,0.0,139000.0,2115.0,2.0,747,43,-2.0,0.0,1
0.0,-0.0,6500.0,284.0,2.0,660,90,19.0,39.0,1
0.0,0.0,161200.0,2166.0,2.0,804,23,6.0,0.0,1
0.0,-0.0,145000.0,4567.0,5.0,1026,99,14.0,1146.0,1
50.0,35.0,167000.0,2099.0,1.0,1026,2,31.0,0.0,0
0.0,0.0,158500.0,3623.0,4.0,899,120,33.0,920.0,1
0.0,-0.0,4800.0,13.0,1.0,1220,103,27.0,35.0,1
50.0,27.0,193500.0,2746.0,2.0,1224,3,6.0,79.0,0
0.0,0.0,205000.0,2214.0,4.0,878,96,53.0,1582.0,1
0.0,0.0,132000.0,2737.0,4.0,933,55,30.0,1041.0,1
0.0,-0.0,4800.0,13.0,1.0,1220,150,27.0,43.0,1
0.0,-0.0,46000.0,4750.0,5.0,1872,84,6.0,475.0,1
0.0,-0.0,158400.0,3589.0,5.0,1101,119,41.0,929.0,1
0.0,0.0,164000.0,1169.0,1.0,1040,92,35.0,0.0,1
0.0,0.0,187000.0,1243.0,1.0,892,74,33.0,11.0,1
0.0,-0.0,46400.0,193.0,1.0,1342,107,15.0,421.0,1
0.0,0.0,171500.0,2365.0,3.0,660,11,33.0,125.0,0
0.0,0.0,180100.0,3486.0,5.0,811,149,30.0,876.0,1
0.0,0.0,208000.0,4544.0,5.0,765,74,30.0,969.0,1
0.0,-0.0,149000.0,3830.0,5.0,1437,149,29.0,1795.0,1
0.0,0.0,170000.0,3669.0,4.0,933,168,44.0,1963.0,1
0.0,0.0,33000.0,283.0,1.0,1690,67,46.0,220.0,1
0.0,0.0,156000.0,2036.0,2.0,1092,35,45.0,0.0,1
0.0,0.0,179000.0,707.0,1.0,885,119,31.0,0.0,1
0.0,-0.0,173500.0,2890.0,3.0,1470,117,29.0,135.0,1
0.0,0.0,130500.0,3029.0,5.0,941,117,26.0,1631.0,1
0.0,0.0,178000.0,2120.0,4.0,929,61,28.0,0.0,1
46.0,78.0,257500.0,3755.0,3.0,1175,11,33.0,18.0,0
0.0,-0.0,149000.0,266.0,1.0,621,137,18.0,76.0,1
0.0,-0.0,232300.0,1119.0,1.0,960,178,19.0,0.0,1
