points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,-0.0,50000.0,69.0,1.0,997,149,26.0,481.0,1
0.0,0.0,9500.0,407.0,2.0,779,19,-6.0,105.0,0
0.0,0.0,138900.0,2046.0,2.0,760,30,37.0,92.0,1
0.0,-0.0,36500.0,355.0,1.0,1084,113,30.0,394.0,1
18.0,10.0,170000.0,3011.0,2.0,1024,3,28.0,57.0,0
0.0,0.0,93500.0,1734.0,2.0,775,100,33.0,392.0,1
34.0,72.0,294000.0,2536.0,2.0,1585,14,23.0,0.0,0
0.0,0.0,182000.0,2558.0,3.0,898,50,23.0,61.0,1
0.0,-0.0,51000.0,721.0,3.0,1224,58,-11.0,381.0,1
0.0,0.0,219000.0,4500.0,4.0,1812,129,37.0,2015.0,1
0.0,0.0,164000.0,3921.0,5.0,975,59,35.0,573.0,1
0.0,0.0,184000.0,1700.0,2.0,866,27,14.0,283.0,1
5.0,8.0,203000.0,3097.0,3.0,865,40,6.0,313.0,1
0.0,0.0,199700.0,1318.0,2.0,460,91,37.0,38.0,1
0.0,0.0,162500.0,1235.0,1.0,971,113,41.0,69.0,1
0.0,0.0,187000.0,1243.0,1.0,892,128,33.0,11.0,1
0.0,-0.0,162000.0,1117.0,2.0,1309,97,8.0,497.0,1
0.0,-0.0,196500.0,987.0,1.0,1557,173,49.0,265.0,1
0.0,0.0,224000.0,2568.0,3.0,1994,151,15.0,0.0,1
0.0,0.0,162600.0,2549.0,3.0,674,110,27.0,414.0,1
0.0,-0.0,4000.0,55.0,1.0,1091,120,26.0,24.0,1
0.0,0.0,4700.0,89.0,1.0,823,67,21.0,16.0,1
18.0,1.0,178500.0,2337.0,4.0,1612,8,14.0,0.0,0
0.0,-0.0,164500.0,1888.0,3.0,1520,164,14.0,215.0,1
0.0,-0.0,148700.0,2334.0,2.0,995,28,20.0,0.0,1
5.0,8.0,205500.0,3003.0,3.0,977,35,6.0,288.0,1
35.0,10.0,16000.0,1099.0,5.0,925,3,-1.0,14.0,0
15.0,2.0,13000.0,346.0,2.0,1061,6,11.0,22.0,0
0.0,0.0,206000.0,1288.0,2.0,819,96,39.0,22.0,1
0.0,0.0,159000.0,1556.0,1.0,1176,120,37.0,443.0,1
0.0,-0.0,171000.0,1596.0,1.0,1210,65,14.0,47.0,1
0.0,-0.0,224000.0,1898.0,1.0,1470,61,17.0,11.0,1
0.0,0.0,155700.0,1399.0,2.0,1036,58,20.0,104.0,1
10.0,1.0,3600.0,196.0,1.0,722,5,45.0,4.0,0
15.0,0.0,222000.0,1478.0,2.0,896,6,39.0,0.0,0
0.0,0.0,176000.0,1542.0,1.0,1136,129,55.0,304.0,1
0.0,-0.0,133000.0,1002.0,1.0,734,62,24.0,102.0,1
0.0,0.0,227000.0,2681.0,4.0,1082,114,21.0,483.0,1
0.0,0.0,132500.0,1546.0,2.0,1224,42,7.0,0.0,1
0.0,0.0,190000.0,2671.0,3.0,794,14,-3.0,0.0,0
15.0,4.0,254100.0,4565.0,2.0,1347,74,20.0,642.0,1
0.0,0.0,158500.0,3623.0,4.0,899,134,33.0,1011.0,1
0.0,0.0,197800.0,2917.0,3.0,1175,55,37.0,30.0,1
1.0,0.0,166500.0,3531.0,4.0,604,10,-1.0,66.0,0
0.0,0.0,189000.0,2127.0,2.0,881,138,67.0,626.0,1
0.0,-0.0,195000.0,3500.0,5.0,1470,144,14.0,1549.0,1
0.0,-0.0,206300.0,4570.0,5.0,960,68,22.0,1205.0,1
0.0,-0.0,12400.0,1062.0,5.0,376,81,39.0,307.0,1
0.0,0.0,119000.0,2447.0,4.0,920,98,40.0,784.0,1
5.0,4.0,227000.0,2964.0,2.0,1024,52,18.0,285.0,1
0.0,0.0,132000.0,2737.0,4.0,933,32,66.0,717.0,1
0.0,-0.0,5200.0,158.0,1.0,883,161,20.0,43.0,1
0.0,-0.0,169000.0,2070.0,1.0,1165,116,12.0,70.0,1
0.0,0.0,137500.0,805.0,1.0,1612,136,30.0,68.0,1
0.0,-0.0,200000.0,3019.0,4.0,1557,34,28.0,403.0,1
0.0,-0.0,199500.0,1215.0,1.0,1804,20,16.0,11.0,1
0.0,0.0,197000.0,1438.0,3.0,751,127,24.0,426.0,1
0.0,0.0,153300.0,1118.0,2.0,971,137,21.0,567.0,1
0.0,0.0,227000.0,2347.0,1.0,1255,109,13.0,0.0,1
0.0,0.0,219000.0,5500.0,5.0,1688,48,34.0,975.0,1
0.0,-0.0,146000.0,3910.0,5.0,602,80,17.0,1931.0,1
0.0,0.0,139000.0,345.0,1.0,920,81,50.0,40.0,1
0.0,0.0,182100.0,2131.0,2.0,816,83,32.0,0.0,1
5.0,0.0,238000.0,3266.0,2.0,1140,61,13.0,445.0,1
0.0,0.0,174000.0,3549.0,5.0,572,20,28.0,249.0,1
6.0,10.0,245000.0,4036.0,2.0,926,34,10.0,243.0,1
5.0,0.0,201600.0,2593.0,2.0,889,71,38.0,167.0,1
5.0,0.0,305000.0,2803.0,2.0,1005,61,26.0,286.0,1
0.0,0.0,10800.0,785.0,5.0,933,21,31.0,117.0,1
22.0,0.0,226500.0,2373.0,3.0,1713,7,26.0,0.0,0
5.0,8.0,202000.0,3124.0,3.0,601,49,47.0,59.0,1
0.0,0.0,121000.0,2582.0,2.0,985,95,42.0,210.0,1
0.0,0.0,152000.0,2155.0,2.0,705,42,11.0,0.0,1
0.0,0.0,154400.0,4114.0,5.0,798,75,34.0,999.0,1
0.0,0.0,195000.0,2172.0,2.0,732,92,35.0,0.0,1
8.0,0.0,219000.0,5500.0,5.0,1688,11,34.0,216.0,0
0.0,-0.0,229000.0,1095.0,2.0,920,54,18.0,0.0,1
0.0,0.0,138000.0,2371.0,3.0,520,46,-7.0,0.0,1
0.0,-0.0,55000.0,1380.0,2.0,1994,144,14.0,672.0,1
0.0,0.0,137000.0,3961.0,5.0,881,70,27.0,1977.0,1
0.0,0.0,166700.0,1049.0,1.0,1023,159,44.0,155.0,1
0.0,-0.0,158000.0,1567.0,3.0,1941,30,11.0,0.0,1
0.0,0.0,145500.0,2426.0,2.0,1690,149,17.0,506.0,1
5.0,0.0,211000.0,1899.0,2.0,775,85,13.0,736.0,1
0.0,0.0,201000.0,454.0,1.0,1689,45,56.0,0.0,1
10.0,5.0,188000.0,2737.0,3.0,533,5,42.0,0.0,0
0.0,-0.0,235000.0,686.0,1.0,1309,64,18.0,0.0,1
0.0,-0.0,147000.0,4730.0,5.0,1342,125,21.0,1950.0,1
0.0,0.0,193000.0,3703.0,5.0,885,116,54.0,2134.0,1
0.0,0.0,188700.0,3899.0,5.0,821,134,53.0,1303.0,1
18.0,10.0,157400.0,2765.0,3.0,515,3,18.0,12.0,0
0.0,0.0,198000.0,1155.0,3.0,975,86,35.0,85.0,1
0.0,0.0,185000.0,5159.0,5.0,852,158,42.0,1988.0,1
0.0,0.0,184000.0,2875.0,4.0,727,130,25.0,1253.0,1
0.0,0.0,120000.0,699.0,1.0,1703,135,43.0,44.0,1
5.0,8.0,253100.0,3505.0,2.0,1004,39,34.0,139.0,1
5.0,0.0,258000.0,4187.0,3.0,998,74,57.0,331.0,1
0.0,0.0,180000.0,429.0,1.0,838,50,59.0,0.0,1
15.0,10.0,265800.0,2925.0,2.0,1259,45,34.0,2.0,1
0.0,0.0,183000.0,1985.0,3.0,1758,83,37.0,105.0,1
100.0,248.0,246700.0,3700.0,3.0,611,5,-1.0,280.0,0
0.0,0.0,175000.0,1942.0,2.0,971,30,26.0,21.0,1
4.0,0.0,132000.0,1899.0,2.0,1092,7,19.0,0.0,0
0.0,0.0,3500.0,14.0,1.0,660,18,40.0,7.0,0
0.0,0.0,139000.0,1460.0,2.0,885,145,75.0,336.0,1
0.0,-0.0,227000.0,6000.0,5.0,1941,56,16.0,1043.0,1
0.0,6.0,201000.0,2140.0,2.0,451,47,25.0,17.0,1
19.0,23.0,246000.0,4083.0,2.0,724,21,30.0,246.0,1
0.0,0.0,172000.0,4170.0,5.0,891,112,29.0,1057.0,1
4.0,1.0,249500.0,2338.0,3.0,590,7,18.0,0.0,0
0.0,0.0,153000.0,738.0,1.0,1017,119,46.0,0.0,1
0.0,0.0,196000.0,2381.0,2.0,1959,69,7.0,37.0,1
0.0,0.0,167000.0,988.0,2.0,838,86,27.0,0.0,1
