,nationality,pca_race_points,weight_height_ratio,race_difficulty,consistency_score,position,cyclist_age
14,61,-0.16085300968166047,3.621276509679705,-0.10399056294508376,-0.402385289659239,-1.245688599093163,0.6538671075651659
95,8,-0.19442904786051776,-1.9082181220410033,-0.10399056294508376,-0.4531266283300478,0.4299395798345029,1.950585272912824
111,61,0.3092116113371725,-0.01350582055871407,0.5261564778229041,-0.5053113855314123,-1.4318695078629036,2.7286161721214186
274,3,1.4354937984431588,0.1507779268049599,-0.6289021642295702,2.1948728539075617,-1.4732430431450683,1.950585272912824
289,25,-0.19442904786051776,1.9974710537646698,-0.6289021642295702,0.030304960028036364,-1.1629415285288338,2.2099289059823555
407,33,-0.19442904786051776,0.4981983653727761,-0.6289021642295702,1.293131080442207,1.278097053118877,1.6912416398432923
421,48,-0.19442904786051776,-2.2205070025454,-0.6289021642295702,-0.3580866221550654,1.567711800094029,0.1351798414261027
494,61,-0.19442904786051776,0.7871243776646788,-2.463204665979813,-1.1134701507298712,-0.12860314647471907,-1.6802255900606187
708,61,4.404195283381462,-1.287866276509791,-0.7115909738129464,-0.842247175711664,-1.5353033460683152,1.6912416398432923
712,35,0.486441373490487,-0.5559742149278055,-0.7115909738129464,-0.5358915588389159,-1.452556275503986,2.7286161721214186
922,8,-0.19442904786051776,3.3217064371349587,-1.76967286762918,-0.47248153146488886,-0.31478405524445974,-0.12416379164342892
943,8,-0.19442904786051776,-1.9082181220410033,-1.76967286762918,-0.4531266283300478,0.11963806521826847,1.950585272912824
1231,67,-0.19442904786051776,-0.8401644644496903,-0.4483499159976372,-0.6604374333827867,0.5540601856809967,-1.6802255900606187
1335,14,-0.19442904786051776,0.3372086649454729,0.3673658342537909,-0.9948861670822821,-1.0181341550412577,0.9132107406346975
1477,61,-0.19442904786051776,-0.3372759602256827,0.3673658342537909,-0.7268588864597932,1.9193868499924283,2.2099289059823555
1494,35,1.3003370420693474,-1.7952612833119153,1.9380672752324988,2.7340313753452654,-1.2250018314520807,1.950585272912824
1515,66,0.1455798393570857,0.9282220495011558,1.9380672752324988,3.795612992348155,-0.7905797109893525,-0.9021946908520238
1559,25,-0.02654883263393511,-0.8324414755971397,1.9380672752324988,0.6260758944919826,0.11963806521826847,-1.1615383239215553
1583,4,-0.02654883263393511,0.44287366085454066,1.9380672752324988,1.8171091651819513,0.6368072562453259,0.9132107406346975
1602,63,-0.02654883263393511,0.9688353214067492,1.9380672752324988,1.4320110084129707,1.0298558414258894,-0.9021946908520238
1617,41,-0.02654883263393511,2.1405237105211397,1.9380672752324988,2.435811153499325,1.3401573560421238,-0.12416379164342892
1618,62,-0.02654883263393511,3.991587608900577,1.9380672752324988,-0.00224720520532735,1.3608441236832063,0.1351798414261027
1638,18,-0.02654883263393511,-0.5195241256114618,1.9380672752324988,5.218931392743709,1.7745794765048521,0.6538671075651659
1640,47,-0.02654883263393511,-0.17293632356149552,1.9380672752324988,3.8697331186350477,1.8159530117870166,0.3945234744956343
1641,8,-0.02654883263393511,0.4601856568380017,1.9380672752324988,-0.28626048050189573,1.8366397794280989,2.9879598051909504
1643,4,-0.02654883263393511,1.269358933854129,1.9380672752324988,0.27170738325517885,1.8780133147102636,-1.6802255900606187
1649,35,-0.02654883263393511,1.0945303582609718,1.9380672752324988,2.697131284188705,2.002133920556757,0.9132107406346975
1656,26,-0.02654883263393511,0.4290633006379281,1.9380672752324988,3.664238943172986,2.1469412940443333,-1.1615383239215553
2233,9,-0.19442904786051776,0.6581364344720552,1.0659390269501825,-1.0183154474573006,0.7402410944507374,0.1351798414261027
2236,61,-0.19442904786051776,-1.1257485246904966,1.0659390269501825,-1.109842803000007,0.8023013973739842,-1.1615383239215553
2239,52,-0.19442904786051776,2.2090759296934928,1.0659390269501825,-0.8034666881158655,0.8643617002972311,-1.1615383239215553
2262,52,-0.19442904786051776,1.8615516967104377,1.0659390269501825,-1.0851813584565175,1.3401573560421238,-0.12416379164342892
2269,55,-0.19442904786051776,0.6062255396770045,1.0659390269501825,-0.5757815213085469,1.4849647295297,-1.9395692231301502
2270,52,-0.19442904786051776,-0.8278745213266311,1.0659390269501825,-0.8155023179851728,1.5056514971707822,0.1351798414261027
2368,61,-0.19442904786051776,-2.736523789400165,-1.8956566617498831,0.08049979888025043,0.09895129757718618,0.1351798414261027
