nationality,pca_race_points,weight_height_ratio,race_difficulty,consistency_score,position,cyclist_age
33,5.802481547916709,1.8193267598737182,-0.10399056294508376,-0.7113826637775432,-1.5353033460683152,-1.6802255900606187
4,5.458224501329398,1.2603961150085605,-0.6289021642295702,0.22956560592851735,-1.5353033460683152,-0.9021946908520238
3,1.4354937984431588,0.1507779268049599,-0.6289021642295702,2.1948728539075617,-1.4732430431450683,1.950585272912824
26,0.6785480745620182,2.087416328455918,-0.6289021642295702,3.013054275853479,-1.4318695078629036,2.2099289059823555
41,-0.19442904786051776,2.1405237105211397,-2.463204665979813,2.435811153499325,0.18169836814151535,-1.4208819569910869
61,4.404195283381462,-1.287866276509791,-0.7115909738129464,-0.842247175711664,-1.5353033460683152,1.6912416398432923
47,5.706854628982381,0.4907411358471556,-1.76967286762918,-0.767766130769192,-1.5353033460683152,0.9132107406346975
25,-0.19442904786051776,3.148958312238457,-1.76967286762918,-0.37814398499112734,-0.749206175707188,-1.9395692231301502
8,19.959591637800894,-0.34382413316948623,1.513856769314125,-0.7780780069932504,-1.5353033460683152,0.1351798414261027
35,15.050712448578697,2.2445724791072026,1.513856769314125,-0.9409916772595994,-1.5146165784272327,0.1351798414261027
8,9.28543748290676,1.0945303582609718,1.513856769314125,-1.0388980118138098,-1.4732430431450683,1.1725543737042292
8,7.753273670287184,3.3217064371349587,1.513856769314125,-0.47248153146488886,-1.452556275503986,0.3945234744956343
61,19.557957955369933,-0.45238054493163565,1.9380672752324988,-0.2801837644621452,-1.5353033460683152,-0.12416379164342892
26,14.400447600316785,0.2831865233085863,1.9380672752324988,2.209383354557984,-1.5146165784272327,1.4318980067737608
4,11.115111264451984,1.3215960396685016,1.9380672752324988,0.01789432645627884,-1.4939298107861505,0.6538671075651659
35,9.094183645038104,-0.07129193549547033,1.9380672752324988,0.06921579833033185,-1.4732430431450683,0.3945234744956343
47,7.676771719868533,0.9688353214067492,1.9380672752324988,2.643907562711784,-1.452556275503986,0.6538671075651659
61,6.49949312778096,-1.287866276509791,1.9380672752324988,-0.4257816622429317,-1.4318695078629036,-0.12416379164342892
38,5.609095984615019,1.01568424241246,1.9380672752324988,-0.06946975599361196,-1.4111827402218213,0.6538671075651659
67,2.0186055754268026,2.0787044411636746,1.9380672752324988,-0.2710018504528225,-1.2870621343753277,0.6538671075651659
35,1.3003370420693474,-1.7952612833119153,1.9380672752324988,2.7340313753452654,-1.2250018314520807,1.950585272912824
8,0.4855887265746892,0.8764389016787067,1.9380672752324988,1.934071052943034,-0.9353870844769285,0.9132107406346975
66,0.1455798393570857,0.9282220495011558,1.9380672752324988,3.795612992348155,-0.7905797109893525,-0.9021946908520238
4,-0.02654883263393511,-0.6549381977651356,1.9380672752324988,-0.29604557597297887,-0.16997668175688366,2.4692725390518873
4,-0.02654883263393511,0.671633130247012,1.9380672752324988,2.5347554493030273,-0.12860314647471907,0.3945234744956343
35,-0.02654883263393511,1.3114561237182467,1.9380672752324988,-0.09428103555843667,1.2987838207599594,2.9879598051909504
41,-0.02654883263393511,2.1405237105211397,1.9380672752324988,2.435811153499325,1.3401573560421238,-0.12416379164342892
62,-0.02654883263393511,3.991587608900577,1.9380672752324988,-0.00224720520532735,1.3608441236832063,0.1351798414261027
17,-0.02654883263393511,2.178345939194981,1.9380672752324988,-0.09646746165241765,1.3815308913242885,1.950585272912824
