points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
7,8.0,170000.0,522.0,1.0,530,27.0,12755.0,0
0,0.0,138300.0,2278.0,4.0,968,21.0,763.0,1
0,0.0,182000.0,544.0,1.0,621,29.0,12115.0,1
0,0.0,193000.0,3610.0,3.0,1044,27.0,73.0,1
0,0.0,164600.0,2091.0,3.0,704,26.0,6190.0,1
0,0.0,152500.0,2319.0,3.0,968,33.0,5517.0,1
10,0.0,188300.0,1316.0,3.0,1551,28.0,14311.0,0
0,0.0,193200.0,255.0,1.0,968,29.0,14363.0,1
0,0.0,201000.0,1150.0,1.0,817,29.0,10555.0,1
0,0.0,148100.0,2733.0,5.0,1551,36.0,1446.0,1
3,10.0,207000.0,2790.0,2.0,835,31.0,281.0,0
0,0.0,134800.0,3828.0,5.0,789,29.0,1232.0,1
0,0.0,186300.0,2556.0,3.0,1551,37.0,293.0,1
10,30.0,179300.0,1873.0,2.0,1584,27.0,13600.0,0
5,10.0,258100.00000000003,4443.0,2.0,1042,31.0,624.0,1
0,0.0,7510.0,100.0,2.0,741,27.0,495.0,1
3,0.0,134800.0,3828.0,5.0,789,30.0,4077.0,0
0,0.0,177600.0,2746.0,2.0,767,37.0,582.0,1
0,0.0,18600.0,1070.0,5.0,835,25.0,617.0,1
0,0.0,182000.0,1280.0,1.0,1551,28.0,9019.0,1
0,0.0,177600.0,3006.0,3.0,225,33.0,206.0,1
0,0.0,181700.0,3278.0,2.0,741,36.0,145.0,1
0,0.0,174000.0,1968.0,2.0,817,30.0,8860.0,1
0,0.0,202000.0,1831.0,2.0,835,27.0,8110.0,1
0,0.0,202400.0,2166.0,2.0,722,29.0,8885.0,1
0,0.0,192000.0,3680.0,5.0,968,29.0,1970.0,1
0,0.0,190000.0,3359.0,2.0,968,32.0,2255.0,1
0,0.0,202200.0,1149.0,1.0,1551,33.0,12953.0,1
0,0.0,177000.0,4019.0,5.0,817,26.0,2311.0,1
0,0.0,183500.0,2453.0,2.0,855,28.0,14464.0,1
0,0.0,135800.0,1842.0,2.0,704,25.0,135.0,1
0,0.0,143800.0,2617.0,5.0,855,31.0,3512.0,0
0,0.0,15840.0,884.0,5.0,508,21.0,604.0,1
0,0.0,159800.0,1723.0,1.0,1182,26.0,8916.0,1
0,0.0,182000.0,1280.0,1.0,1551,25.0,12755.0,1
0,0.0,183000.0,5423.0,5.0,835,22.0,1420.0,1
0,0.0,135700.0,3636.0,3.0,741,29.0,258.0,1
0,0.0,218000.0,4143.0,5.0,835,24.0,1529.0,1
46,80.0,202100.0,3160.0,3.0,971,31.0,16925.0,0
0,0.0,134800.0,3828.0,5.0,789,21.0,1371.0,1
25,12.0,202000.0,5268.0,4.0,817,29.0,84.0,0
5,10.0,221400.0,4124.0,2.0,864,35.0,362.0,1
0,0.0,191800.0,2473.0,4.0,789,28.0,156.0,1
0,0.0,17400.0,317.0,2.0,817,22.0,556.0,1
0,0.0,212400.0,1958.0,1.0,981,29.0,10858.0,1
0,0.0,184000.0,1303.0,1.0,621,22.0,11571.0,1
0,0.0,162700.0,2653.0,2.0,539,30.0,807.0,1
0,0.0,156000.0,1219.0,2.0,817,23.0,194.0,1
0,0.0,13200.0,21.0,1.0,1551,32.0,377.0,1
6,0.0,196000.0,1764.0,2.0,817,23.0,13875.0,0
0,0.0,155000.0,2402.0,3.0,1059,29.0,1157.0,1
0,0.0,185000.0,2741.0,5.0,530,32.0,748.0,1
0,0.0,155000.0,2402.0,3.0,1059,29.0,1157.0,1
8,0.0,191000.0,5080.0,5.0,817,42.0,4017.0,0
0,0.0,170000.0,2063.0,2.0,1059,28.0,10177.0,1
0,0.0,154000.0,1660.0,1.0,1044,36.0,8040.0,1
0,0.0,151800.0,4281.0,4.0,1584,29.0,1618.0,1
0,0.0,183500.0,2453.0,2.0,855,31.0,14464.0,1
0,0.0,178000.0,2729.0,3.0,508,23.0,629.0,1
0,0.0,152500.0,2319.0,3.0,968,33.0,358.0,1
0,0.0,30900.0,179.0,1.0,968,31.0,433.0,0
5,0.0,256600.00000000003,1380.0,1.0,775,24.0,1162.0,1
0,0.0,9200.0,81.0,1.0,817,30.0,424.0,1
0,0.0,35000.0,84.0,1.0,835,22.0,308.0,1
0,0.0,192600.0,2109.0,2.0,1551,24.0,371.0,1
90,220.0,203900.0,2010.0,2.0,640,28.0,96.0,0
0,0.0,181200.0,4120.0,5.0,968,26.0,1159.0,1
0,0.0,167200.0,3151.0,2.0,1584,32.0,1532.0,1
0,0.0,204000.0,2867.0,2.0,817,31.0,548.0,1
0,0.0,171500.0,1785.0,1.0,1551,33.0,11379.0,1
0,0.0,166700.0,3538.0,5.0,722,21.0,866.0,1
13,25.0,218000.0,2503.0,3.0,1044,32.0,18344.0,0
0,0.0,148000.0,1364.0,5.0,621,30.0,398.0,1
0,0.0,213000.0,1777.0,2.0,835,30.0,911.0,1
0,0.0,6820.0,10.0,1.0,539,32.0,641.0,0
0,0.0,216000.0,2601.0,2.0,1044,38.0,9610.0,1
5,0.0,294000.0,2154.0,2.0,1047,28.0,440.0,1
0,0.0,159200.0,707.0,1.0,1182,30.0,10400.0,1
0,0.0,147900.0,4015.0,5.0,781,26.0,1756.0,1
0,0.0,185600.0,2703.0,2.0,741,25.0,208.0,1
0,0.0,184900.0,1216.0,1.0,1584,37.0,84.0,1
0,0.0,162700.0,2653.0,2.0,539,30.0,6425.0,1
0,0.0,170000.0,522.0,1.0,530,33.0,8476.0,1
0,0.0,181200.0,4120.0,5.0,968,23.0,1600.0,1
0,0.0,165000.0,1993.0,2.0,225,31.0,6791.0,1
0,0.0,219900.0,2477.0,3.0,1551,31.0,111.0,1
0,0.0,219000.0,2430.0,2.0,835,37.0,946.0,1
0,0.0,151000.0,518.0,1.0,530,24.0,9844.0,1
0,0.0,213600.0,2878.0,2.0,1182,21.0,333.0,1
0,0.0,180600.0,3998.0,5.0,704,25.0,1141.0,1
0,0.0,143800.0,2617.0,5.0,855,25.0,66.0,0
0,0.0,162300.0,2755.0,1.0,968,29.0,1161.0,1
0,0.0,186300.0,2556.0,3.0,1551,34.0,7050.0,1
0,0.0,174100.0,2534.0,2.0,704,27.0,295.0,1
0,0.0,177600.0,2746.0,2.0,767,25.0,10307.0,0
0,0.0,168400.0,1766.0,1.0,968,22.0,291.0,1
80,100.0,191000.0,5080.0,5.0,817,26.0,0.0,0
0,0.0,182000.0,544.0,1.0,621,25.0,12448.0,1
0,0.0,206300.0,2478.0,2.0,722,24.0,14777.0,1
0,0.0,194000.0,2336.0,2.0,835,29.0,1326.0,1
0,0.0,162700.0,2653.0,2.0,539,36.0,807.0,1
0,0.0,167300.0,2865.0,3.0,781,31.0,6488.0,1
0,0.0,158000.0,2753.0,2.0,781,24.0,370.0,1
0,0.0,202000.0,5268.0,4.0,817,23.0,1159.0,1
5,5.0,207300.0,1616.0,2.0,677,28.0,166.0,1
0,0.0,165400.0,3291.0,5.0,704,33.0,837.0,1
0,0.0,156000.0,1219.0,2.0,817,33.0,177.0,1
0,0.0,156000.0,1219.0,2.0,817,40.0,11315.0,1
18,30.0,6820.0,10.0,1.0,539,28.0,1042.0,0
0,0.0,177600.0,2746.0,2.0,767,27.0,279.0,1
0,0.0,176600.0,2644.0,5.0,704,34.0,1437.0,1
0,0.0,169800.0,2956.0,2.0,789,24.0,371.0,1
0,0.0,164700.0,2470.0,5.0,981,36.0,301.0,1
0,0.0,176300.0,2526.0,5.0,1551,39.0,106.0,1
0,0.0,117200.0,2465.0,2.0,981,28.0,898.0,1
0,0.0,165000.0,1993.0,2.0,225,20.0,4363.0,1
0,0.0,165700.0,5399.0,4.0,1584,32.0,453.0,1
0,0.0,142900.0,3554.0,5.0,981,26.0,558.0,1
0,0.0,213600.0,2878.0,2.0,1182,28.0,923.0,1
0,0.0,180100.0,4158.0,5.0,508,31.0,483.0,1
0,0.0,168600.0,2706.0,2.0,722,33.0,1417.0,1
0,0.0,156000.0,1219.0,2.0,817,24.0,451.0,1
4,0.0,192000.0,1498.0,2.0,817,29.0,13864.0,0
0,0.0,170000.0,522.0,1.0,530,29.0,237.0,1
0,0.0,203000.0,369.0,1.0,817,27.0,11398.0,1
0,0.0,168800.0,3120.0,2.0,1584,31.0,1098.0,1
0,0.0,190000.0,3359.0,2.0,968,33.0,3234.0,1
0,0.0,180600.0,3998.0,5.0,704,26.0,1141.0,1
0,0.0,206300.0,2478.0,2.0,722,24.0,12582.0,1
0,0.0,177000.0,4019.0,5.0,817,33.0,2311.0,1
0,0.0,208900.0,2949.0,2.0,1584,34.0,850.0,1
8,0.0,9200.0,81.0,1.0,817,23.0,493.0,0
0,0.0,195000.0,1390.0,3.0,817,37.0,139.0,1
42,60.0,253000.0,4852.0,2.0,1019,31.0,118.0,0
0,0.0,147900.0,4015.0,5.0,781,30.0,1682.0,1
0,0.0,115600.0,748.0,1.0,1551,29.0,8148.0,1
0,0.0,202400.0,2166.0,2.0,722,25.0,9744.0,1
0,0.0,159800.0,1723.0,1.0,1182,22.0,124.0,1
5,0.0,202100.0,3160.0,3.0,971,36.0,301.0,1
0,0.0,182400.0,3441.0,5.0,1584,26.0,1196.0,1
0,0.0,179000.0,4483.0,5.0,1584,30.0,1307.0,1
0,0.0,177000.0,4019.0,5.0,817,25.0,468.0,1
0,0.0,35000.0,84.0,1.0,835,30.0,281.0,1
0,0.0,184000.0,1303.0,1.0,621,30.0,11242.0,1
0,0.0,157000.0,601.0,1.0,1551,27.0,880.0,1
0,0.0,193200.0,255.0,1.0,968,23.0,8889.0,1
0,0.0,22400.0,636.0,5.0,1584,37.0,489.0,1
0,0.0,9200.0,81.0,1.0,817,24.0,384.0,1
0,0.0,148000.0,1364.0,5.0,621,23.0,963.0,1
0,0.0,13900.0,4.0,1.0,1059,29.0,414.0,1
0,0.0,166700.0,3538.0,5.0,722,26.0,277.0,1
0,0.0,171500.0,1785.0,1.0,1551,39.0,8567.0,1
0,0.0,215000.0,3817.0,5.0,1059,31.0,954.0,1
0,0.0,172000.0,3626.0,5.0,817,29.0,1389.0,1
0,0.0,171400.0,3675.0,5.0,968,28.0,1020.0,1
19,20.0,257200.0,1362.0,1.0,747,24.0,287.0,1
0,0.0,147000.0,3167.0,2.0,817,23.0,1899.0,1
18,8.0,135700.0,3636.0,3.0,741,29.0,8798.0,0
0,0.0,180000.0,388.0,1.0,621,30.0,9970.0,1
0,0.0,171500.0,1785.0,1.0,1551,32.0,10885.0,1
0,0.0,159000.0,1296.0,2.0,1059,37.0,11441.0,1
0,0.0,192900.0,3743.0,3.0,1551,24.0,1655.0,1
0,0.0,5120.0,39.0,1.0,508,24.0,391.0,1
0,0.0,191100.0,2018.0,2.0,781,26.0,143.0,1
0,0.0,198000.0,2746.0,2.0,767,37.0,8982.0,1
0,0.0,186300.0,2556.0,3.0,1551,39.0,342.0,1
5,8.0,202100.0,3160.0,3.0,971,35.0,16895.0,1
0,0.0,152500.0,2795.0,4.0,855,32.0,1032.0,1
0,0.0,191000.0,5080.0,5.0,817,29.0,2641.0,1
0,0.0,180600.0,3998.0,5.0,704,28.0,1513.0,1
0,0.0,176600.0,2644.0,5.0,704,29.0,220.0,1
0,0.0,168800.0,3120.0,2.0,1584,27.0,685.0,1
0,0.0,176000.0,337.0,1.0,621,32.0,113.0,1
0,0.0,185000.0,2741.0,5.0,530,26.0,1181.0,1
10,15.0,165400.0,3291.0,5.0,704,31.0,9657.0,0
0,0.0,137800.0,3472.0,4.0,719,37.0,243.0,1
0,0.0,143800.0,2617.0,5.0,855,34.0,873.0,1
0,0.0,206300.0,2478.0,2.0,722,26.0,7525.0,1
5,0.0,293000.0,2096.0,2.0,938,24.0,326.0,1
0,0.0,142900.0,3554.0,5.0,981,30.0,1733.0,1
0,0.0,164700.0,2470.0,5.0,981,27.0,1284.0,1
0,0.0,181700.0,3278.0,2.0,741,28.0,1149.0,1
22,20.0,183700.0,1459.0,2.0,866,34.0,14765.0,0
0,0.0,180000.0,388.0,1.0,621,24.0,11083.0,1
0,0.0,12700.0,76.0,1.0,855,30.0,370.0,1
0,0.0,181000.0,3977.0,4.0,968,28.0,154.0,0
