points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,25.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,25.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,1125.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1154.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1298.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,34.0,1376.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,1376.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1376.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1376.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,1380.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,1418.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,21.0,1418.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1418.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,1418.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,1450.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1543.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,1543.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,23.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,1655.0,1.0
